고객번호,구분,부도여부,성별,연령대,신용한도사용률_원래,신용한도사용률_전처리,나이_원래,나이_전처리,30-59일연체_원래,30-59일연체_전처리,부채비율_원래,부채비율_전처리,월소득_원래,월소득_전처리,개설신용거래수_원래,개설신용거래수_전처리,90일이상연체_원래,90일이상연체_전처리,부동산대출수_원래,부동산대출수_전처리,60-89일연체_원래,60-89일연체_전처리,부양가족수_원래,부양가족수_전처리,신용이력개월_원래,신용이력개월_전처리,통신비납부율_원래,통신비납부율_전처리,공과금납부율_원래,공과금납부율_전처리,소비일관성_원래,소비일관성_전처리,정기결제건수_원래,정기결제건수_전처리,앱로그인빈도_원래,앱로그인빈도_전처리,월소득_빈칸표시,부양가족수_빈칸표시,30-59일연체_빈칸표시,90일이상연체_빈칸표시,60-89일연체_빈칸표시
149705,일반,정상,male,35-54,0.566,0.696,50,-0.154,0.0,-0.297,0.56,-0.349,5860.0,-0.073,5,-0.673,0.0,-0.15,2,0.869,0.0,-0.163,0.0,-0.667,334,0.991,0.684,-1.248,0.568,-1.418,19.456,-1.65,10,0.148,14,-0.42,0,0,0,0,0
368,일반,정상,male,35-54,0.066,-0.721,46,-0.425,1.0,1.317,4480.0,4.592,기록 없음,-0.195,6,-0.479,0.0,-0.15,2,0.869,0.0,-0.163,0.0,-0.667,219,0.313,0.888,0.55,0.872,0.72,51.937,1.149,14,1.305,21,0.877,1,0,0,0,0
112558,일반,정상,female,35-54,0.058,-0.745,54,0.117,0.0,-0.297,940.0,0.688,0.0,-1.573,8,-0.091,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,21,-0.855,0.949,1.089,0.893,0.869,54.559,1.375,0,-2.744,21,0.877,0,0,0,0,0
69044,일반,정상,male,55+,0.249,-0.204,66,0.93,1.0,1.317,0.373,-0.349,15916.0,2.501,21,2.434,0.0,-0.15,2,0.869,0.0,-0.163,1.0,0.237,446,1.651,0.739,-0.762,0.788,0.134,35.512,-0.266,13,1.015,15,-0.235,0,0,0,0,0
9273,일반,정상,male,55+,0.026,-0.837,60,0.523,0.0,-0.297,0.224,-0.349,14581.0,2.159,18,1.851,0.0,-0.15,2,0.869,0.0,-0.163,2.0,1.141,200,0.201,0.837,0.103,0.815,0.323,23.322,-1.316,8,-0.43,12,-0.791,0,0,0,0,0
116249,일반,정상,male,55+,0.223,-0.277,67,0.997,0.0,-0.297,0.569,-0.349,5711.0,-0.111,16,1.463,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,288,0.719,0.721,-0.92,0.78,0.077,40.084,0.128,11,0.437,19,0.507,0,0,0,0,0
61485,일반,정상,female,20-34,0.062,-0.734,34,-1.238,0.0,-0.297,0.167,-0.349,6300.0,0.04,11,0.492,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,77,-0.524,0.949,1.09,0.812,0.298,30.999,-0.655,8,-0.43,18,0.321,0,0,0,0,0
71445,일반,정상,female,55+,0.694,1.062,61,0.591,0.0,-0.297,0.608,-0.349,6400.0,0.065,13,0.88,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,350,1.085,0.837,0.106,0.53,-1.684,32.528,-0.523,5,-1.298,9,-1.346,0,0,0,0,0
113660,일반,정상,female,35-54,0.342,0.062,52,-0.019,0.0,-0.297,0.697,-0.348,4320.0,-0.467,18,1.851,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,78,-0.519,0.877,0.455,0.834,0.457,30.878,-0.665,15,1.594,19,0.507,0,0,0,0,0
137436,일반,정상,male,35-54,0.001,-0.907,51,-0.087,0.0,-0.297,0.458,-0.349,4400.0,-0.446,5,-0.673,0.0,-0.15,2,0.869,0.0,-0.163,0.0,-0.667,257,0.537,0.724,-0.891,0.777,0.057,28.55,-0.866,6,-1.009,16,-0.049,0,0,0,0,0
69722,일반,정상,female,35-54,0.536,0.612,45,-0.493,2.0,2.93,4188.0,4.27,기록 없음,-0.195,9,0.104,0.0,-0.15,2,0.869,1.0,3.426,기록 없음,-0.667,207,0.242,0.914,0.779,0.762,-0.05,35.341,-0.281,12,0.726,20,0.692,1,1,0,0,0
36566,일반,정상,female,55+,0.162,-0.449,60,0.523,0.0,-0.297,0.029,-0.349,17400.0,2.881,9,0.104,0.0,-0.15,0,-0.903,0.0,-0.163,0.0,-0.667,239,0.431,0.952,1.119,0.869,0.704,40.155,0.134,10,0.148,18,0.321,0,0,0,0,0
124133,일반,정상,male,55+,0.058,-0.746,79,1.81,0.0,-0.297,0.245,-0.349,5833.0,-0.08,11,0.492,0.0,-0.15,1,-0.017,0.0,-0.163,1.0,0.237,405,1.409,0.905,0.708,0.853,0.586,48.153,0.823,12,0.726,21,0.877,0,0,0,0,0
91807,일반,부도,female,55+,0.074,-0.698,61,0.591,0.0,-0.297,0.306,-0.349,14583.0,2.16,12,0.686,0.0,-0.15,4,2.642,0.0,-0.163,0.0,-0.667,362,1.156,0.918,0.821,0.741,-0.198,33.662,-0.425,9,-0.141,20,0.692,0,0,0,0,0
69521,일반,부도,female,20-34,1.025,2.002,34,-1.238,0.0,-0.297,1.577,-0.347,6650.0,0.129,6,-0.479,5.0,12.82,1,-0.017,1.0,3.426,0.0,-0.667,150,-0.094,0.506,-2.817,0.256,-3.606,6.047,-2.805,0,-2.744,2,-2.644,0,0,0,0,0
80165,일반,부도,male,55+,0.018,-0.859,84,2.149,0.0,-0.297,0.005,-0.349,5000.0,-0.293,6,-0.479,0.0,-0.15,0,-0.903,0.0,-0.163,0.0,-0.667,221,0.324,0.307,-4.573,0.217,-3.88,1.875,-3.165,0,-2.744,0,-3.014,0,0,0,0,0
56471,일반,부도,male,55+,0.757,1.241,55,0.184,0.0,-0.297,0.484,-0.349,1800.0,-1.112,7,-0.285,4.0,10.226,2,0.869,2.0,7.015,0.0,-0.667,440,1.615,0.422,-3.558,0.217,-3.881,1.91,-3.162,0,-2.744,0,-3.014,0,0,0,0,0
62372,일반,부도,female,35-54,0.064,-0.728,54,0.117,2.0,2.93,0.348,-0.349,6283.0,0.035,9,0.104,1.0,2.444,2,0.869,1.0,3.426,3.0,2.045,352,1.097,0.898,0.64,0.863,0.662,41.282,0.231,12,0.726,12,-0.791,0,0,0,0,0
82901,일반,부도,female,55+,0.253,-0.192,63,0.726,1.0,1.317,2290.0,2.177,기록 없음,-0.195,7,-0.285,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,445,1.645,0.567,-2.28,0.321,-3.154,5.329,-2.867,1,-2.454,1,-2.829,1,0,0,0,0
117763,일반,부도,male,55+,0.534,0.607,68,1.065,0.0,-0.297,5298.0,5.141,기록 없음,-0.195,7,-0.285,0.0,-0.15,1,-0.017,1.0,3.426,0.0,-0.667,70,-0.566,0.582,-2.145,0.458,-2.188,15.243,-2.013,1,-2.454,1,-2.829,1,0,0,0,0
108442,일반,부도,male,35-54,0.508,0.534,54,0.117,4.0,6.157,0.827,-0.348,3545.0,-0.665,13,0.88,0.0,-0.15,0,-0.903,1.0,3.426,3.0,2.045,209,0.254,0.388,-3.853,0.375,-2.771,8.091,-2.629,0,-2.744,0,-3.014,0,0,0,0,0
105629,일반,부도,male,20-34,0.523,0.576,31,-1.441,5.0,7.771,0.347,-0.349,3615.0,-0.647,12,0.686,0.0,-0.15,1,-0.017,2.0,7.015,2.0,1.141,36,-0.766,0.453,-3.282,0.262,-3.564,4.384,-2.948,0,-2.744,2,-2.644,0,0,0,0,0
41667,일반,부도,male,55+,0.002,-0.904,77,1.675,0.0,-0.297,0.208,-0.349,14500.0,2.139,10,0.298,0.0,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,312,0.861,0.839,0.126,0.87,0.706,45.452,0.59,13,1.015,18,0.321,0,0,0,0,0
126000,일반,부도,male,55+,0.023,-0.844,77,1.675,2.0,2.93,0.015,-0.349,4000.0,-0.549,11,0.492,0.0,-0.15,0,-0.903,1.0,3.426,0.0,-0.667,404,1.403,0.325,-4.411,0.253,-3.629,2.39,-3.12,0,-2.744,0,-3.014,0,0,0,0,0
60577,일반,부도,male,35-54,0.0,-0.91,42,-0.696,0.0,-0.297,3.0,-0.346,기록 없음,-0.195,3,-1.061,0.0,-0.15,0,-0.903,0.0,-0.163,0.0,-0.667,105,-0.359,0.765,-0.536,0.83,0.427,26.097,-1.077,5,-1.298,15,-0.235,1,0,0,0,0
79726,일반,부도,female,35-54,0.196,-0.353,38,-0.967,0.0,-0.297,0.509,-0.349,7500.0,0.347,10,0.298,0.0,-0.15,2,0.869,0.0,-0.163,0.0,-0.667,212,0.271,0.832,0.061,0.657,-0.792,50.328,1.011,14,1.305,14,-0.42,0,0,0,0,0
107884,일반,부도,male,55+,0.005,-0.896,66,0.93,0.0,-0.297,0.0,-0.349,6000.0,-0.037,3,-1.061,0.0,-0.15,0,-0.903,1.0,3.426,0.0,-0.667,174,0.047,0.975,1.325,0.959,1.332,30.999,-0.655,13,1.015,13,-0.605,0,0,0,0,0
111025,일반,부도,female,35-54,0.258,-0.177,50,-0.154,0.0,-0.297,0.224,-0.349,3450.0,-0.69,7,-0.285,0.0,-0.15,0,-0.903,0.0,-0.163,1.0,0.237,149,-0.1,0.744,-0.718,0.8,0.215,36.76,-0.159,13,1.015,15,-0.235,0,0,0,0,0
132267,일반,부도,female,55+,0.283,-0.106,65,0.862,1.0,1.317,0.745,-0.348,3220.0,-0.749,2,-1.256,2.0,5.038,1,-0.017,1.0,3.426,3.0,2.045,185,0.112,0.502,-2.853,0.365,-2.845,6.476,-2.768,0,-2.744,1,-2.829,0,0,0,0,0
34290,일반,부도,male,35-54,0.163,-0.446,39,-0.9,0.0,-0.297,0.218,-0.349,6000.0,-0.037,4,-0.867,0.0,-0.15,0,-0.903,0.0,-0.163,3.0,2.045,43,-0.725,0.858,0.292,0.85,0.569,56.662,1.556,12,0.726,25,1.619,0,0,0,0,0
75746,일반,부도,male,35-54,0.647,0.928,52,-0.019,1.0,1.317,1.338,-0.348,5400.0,-0.191,19,2.045,0.0,-0.15,3,1.755,0.0,-0.163,2.0,1.141,21,-0.855,0.912,0.768,0.965,1.375,51.774,1.135,12,0.726,21,0.877,0,0,0,0,0
91037,일반,부도,male,35-54,1.009,1.955,38,-0.967,3.0,4.544,0.317,-0.349,12500.0,1.627,5,-0.673,0.0,-0.15,1,-0.017,0.0,-0.163,3.0,2.045,61,-0.619,0.926,0.893,0.997,1.6,24.602,-1.206,11,0.437,18,0.321,0,0,0,0,0
99728,일반,부도,female,35-54,0.563,0.69,35,-1.171,0.0,-0.297,0.996,-0.348,5550.0,-0.152,22,2.628,0.0,-0.15,2,0.869,0.0,-0.163,2.0,1.141,45,-0.713,0.855,0.262,0.881,0.786,45.99,0.637,8,-0.43,12,-0.791,0,0,0,0,0
29453,일반,부도,male,35-54,0.365,0.127,49,-0.222,0.0,-0.297,1.82,-0.347,1296.0,-1.241,4,-0.867,0.0,-0.15,2,0.869,0.0,-0.163,0.0,-0.667,324,0.932,0.343,-4.255,0.247,-3.672,4.792,-2.913,0,-2.744,1,-2.829,0,0,0,0,0
39484,일반,부도,male,35-54,0.139,-0.515,43,-0.629,0.0,-0.297,0.369,-0.349,14250.0,2.075,10,0.298,0.0,-0.15,1,-0.017,0.0,-0.163,2.0,1.141,184,0.106,0.612,-1.877,0.703,-0.465,57.735,1.649,12,0.726,18,0.321,0,0,0,0,0
12350,일반,부도,female,55+,0.0,-0.91,86,2.285,0.0,-0.297,21.0,-0.326,기록 없음,-0.195,4,-0.867,0.0,-0.15,0,-0.903,0.0,-0.163,0.0,-0.667,522,2.099,0.907,0.717,0.873,0.726,37.225,-0.119,14,1.305,22,1.063,1,0,0,0,0
4758,일반,부도,male,55+,1.0,1.93,79,1.81,0.0,-0.297,0.332,-0.349,2268.0,-0.992,3,-1.061,0.0,-0.15,0,-0.903,0.0,-0.163,0.0,-0.667,558,2.311,0.834,0.076,0.702,-0.473,42.422,0.329,10,0.148,14,-0.42,0,0,0,0,0
34214,일반,부도,female,35-54,0.828,1.442,38,-0.967,0.0,-0.297,0.737,-0.348,2600.0,-0.907,4,-0.867,0.0,-0.15,2,0.869,1.0,3.426,0.0,-0.667,16,-0.884,0.806,-0.172,0.778,0.063,50.648,1.038,14,1.305,23,1.248,0,0,0,0,0
45187,씬파일러,정상,male,55+,0.022,-0.847,57,0.32,기록 없음,-0.297,0.153,-0.349,15000.0,2.267,9,0.104,기록 없음,-0.15,1,-0.017,0.0,-0.163,0.0,-0.667,7,-0.937,0.755,-0.615,0.805,0.249,55.326,1.441,9,-0.141,12,-0.791,0,0,1,1,0
130375,씬파일러,정상,female,35-54,0.261,-0.168,40,-0.832,기록 없음,-0.297,0.361,-0.349,4282.0,-0.477,7,-0.285,0.0,-0.15,1,-0.017,기록 없음,-0.163,3.0,2.045,4,-0.955,0.761,-0.567,0.76,-0.063,32.169,-0.554,7,-0.719,17,0.136,0,0,1,0,1
32025,씬파일러,정상,female,55+,0.064,-0.728,66,0.93,0.0,-0.297,2.614,-0.346,1350.0,-1.227,10,0.298,기록 없음,-0.15,2,0.869,기록 없음,-0.163,0.0,-0.667,10,-0.919,0.951,1.11,0.775,0.041,39.757,0.1,14,1.305,6,-1.902,0,0,0,1,1
81832,씬파일러,정상,male,35-54,1.0,1.93,44,-0.561,기록 없음,-0.297,0.088,-0.349,1800.0,-1.112,1,-1.45,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,2.0,1.141,6,-0.943,0.955,1.14,0.866,0.683,42.843,0.366,14,1.305,26,1.804,0,0,1,1,1
76215,씬파일러,정상,male,35-54,0.06,-0.739,42,-0.696,0.0,-0.297,0.621,-0.348,1201.0,-1.265,8,-0.091,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,0.0,-0.667,1,-0.972,0.785,-0.354,0.689,-0.565,26.404,-1.051,8,-0.43,17,0.136,0,0,0,1,1
767,씬파일러,정상,female,20-34,0.357,0.105,25,-1.848,기록 없음,-0.297,0.002,-0.349,2900.0,-0.83,1,-1.45,기록 없음,-0.15,0,-0.903,0.0,-0.163,0.0,-0.667,7,-0.937,0.658,-1.472,0.755,-0.101,35.616,-0.257,10,0.148,18,0.321,0,0,1,1,0
74825,씬파일러,정상,female,35-54,0.078,-0.689,37,-1.035,기록 없음,-0.297,0.255,-0.349,8600.0,0.629,6,-0.479,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,3.0,2.045,0,-0.978,0.823,-0.02,0.903,0.937,38.89,0.025,7,-0.719,20,0.692,0,0,1,1,1
30878,씬파일러,정상,male,20-34,1.0,1.93,31,-1.441,기록 없음,-0.297,0.098,-0.349,4000.0,-0.549,2,-1.256,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,10,-0.919,0.819,-0.051,0.615,-1.084,47.609,0.776,11,0.437,15,-0.235,0,0,1,1,1
9172,씬파일러,정상,male,35-54,0.183,-0.389,51,-0.087,기록 없음,-0.297,1658.0,1.48,기록 없음,-0.195,8,-0.091,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,3.0,2.045,5,-0.949,0.833,0.065,0.782,0.091,38.533,-0.006,11,0.437,18,0.321,1,0,1,1,1
79909,씬파일러,정상,female,35-54,0.058,-0.745,43,-0.629,0.0,-0.297,0.368,-0.349,5106.0,-0.266,13,0.88,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,2.0,1.141,10,-0.919,0.815,-0.087,0.736,-0.236,39.981,0.119,9,-0.141,24,1.433,0,0,0,1,1
47360,씬파일러,정상,male,35-54,0.728,1.157,47,-0.358,기록 없음,-0.297,0.546,-0.349,10480.0,1.11,5,-0.673,기록 없음,-0.15,3,1.755,기록 없음,-0.163,5.0,3.853,2,-0.967,0.702,-1.089,0.718,-0.36,57.72,1.648,10,0.148,16,-0.049,0,0,1,1,1
108800,씬파일러,정상,male,20-34,0.0,-0.91,26,-1.78,기록 없음,-0.297,0.096,-0.349,1900.0,-1.086,3,-1.061,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,1,-0.972,0.963,1.213,0.798,0.2,57.107,1.595,13,1.015,19,0.507,0,0,1,1,1
79754,씬파일러,정상,male,35-54,0.001,-0.906,37,-1.035,기록 없음,-0.297,186.0,-0.144,기록 없음,-0.195,5,-0.673,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,0.0,-0.667,7,-0.937,0.934,0.96,0.867,0.689,45.677,0.61,9,-0.141,22,1.063,1,0,1,1,1
33646,씬파일러,정상,male,20-34,0.0,-0.91,25,-1.848,기록 없음,-0.297,0.002,-0.349,1300.0,-1.24,3,-1.061,0.0,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,6,-0.943,0.993,1.478,0.88,0.777,37.673,-0.08,9,-0.141,17,0.136,0,0,1,0,1
89321,씬파일러,정상,male,35-54,0.283,-0.107,44,-0.561,기록 없음,-0.297,0.27,-0.349,2666.0,-0.89,5,-0.673,기록 없음,-0.15,0,-0.903,0.0,-0.163,1.0,0.237,6,-0.943,0.925,0.876,0.94,1.201,41.471,0.247,11,0.437,22,1.063,0,0,1,1,0
146554,씬파일러,정상,male,35-54,0.606,0.811,47,-0.358,기록 없음,-0.297,0.511,-0.349,5000.0,-0.293,10,0.298,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,2.0,1.141,0,-0.978,0.728,-0.86,0.746,-0.167,36.155,-0.211,13,1.015,12,-0.791,0,0,1,1,1
60595,씬파일러,정상,female,55+,0.047,-0.775,64,0.794,기록 없음,-0.297,0.203,-0.349,5002.0,-0.292,11,0.492,기록 없음,-0.15,2,0.869,기록 없음,-0.163,0.0,-0.667,7,-0.937,0.956,1.157,0.716,-0.372,45.05,0.556,10,0.148,20,0.692,0,0,1,1,1
15283,씬파일러,정상,male,35-54,0.175,-0.412,41,-0.764,기록 없음,-0.297,0.198,-0.349,8000.0,0.475,12,0.686,0.0,-0.15,1,-0.017,기록 없음,-0.163,2.0,1.141,11,-0.913,0.862,0.326,0.935,1.166,34.97,-0.313,14,1.305,11,-0.976,0,0,1,0,1
24239,씬파일러,정상,male,55+,0.038,-0.801,70,1.201,0.0,-0.297,0.383,-0.349,32000.0,4.826,9,0.104,기록 없음,-0.15,3,1.755,기록 없음,-0.163,0.0,-0.667,7,-0.937,0.847,0.192,0.642,-0.893,40.017,0.122,5,-1.298,11,-0.976,0,0,0,1,1
69918,씬파일러,정상,male,55+,0.475,0.439,62,0.659,기록 없음,-0.297,2106.0,1.974,기록 없음,-0.195,3,-1.061,0.0,-0.15,1,-0.017,기록 없음,-0.163,0.0,-0.667,9,-0.925,1.0,1.541,0.964,1.367,55.633,1.468,12,0.726,22,1.063,1,0,1,0,1
14150,씬파일러,정상,male,20-34,0.034,-0.813,30,-1.509,0.0,-0.297,0.077,-0.349,6250.0,0.027,5,-0.673,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,1.0,0.237,3,-0.961,0.817,-0.076,0.761,-0.057,41.667,0.264,9,-0.141,20,0.692,0,0,0,1,1
103428,씬파일러,정상,female,20-34,0.0,-0.91,26,-1.78,기록 없음,-0.297,0.0,-0.349,기록 없음,-0.195,1,-1.45,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,6,-0.943,0.817,-0.075,0.906,0.963,38.968,0.032,11,0.437,17,0.136,1,0,1,1,1
2439,씬파일러,정상,female,20-34,0.146,-0.494,31,-1.441,기록 없음,-0.297,0.174,-0.349,4000.0,-0.549,8,-0.091,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,0,-0.978,0.849,0.214,0.856,0.612,41.381,0.24,13,1.015,18,0.321,0,0,1,1,1
9674,씬파일러,정상,male,35-54,0.255,-0.186,42,-0.696,기록 없음,-0.297,0.263,-0.349,4150.0,-0.51,5,-0.673,기록 없음,-0.15,2,0.869,기록 없음,-0.163,0.0,-0.667,8,-0.931,0.977,1.336,0.974,1.44,41.907,0.285,9,-0.141,18,0.321,0,0,1,1,1
53136,씬파일러,정상,male,35-54,0.336,0.045,53,0.049,0.0,-0.297,0.192,-0.349,15175.0,2.311,11,0.492,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,1.0,0.237,7,-0.937,0.974,1.309,0.764,-0.036,43.932,0.459,11,0.437,13,-0.605,0,0,0,1,1
136809,씬파일러,부도,female,35-54,0.571,0.713,46,-0.425,기록 없음,-0.297,0.437,-0.349,3500.0,-0.677,21,2.434,기록 없음,-0.15,1,-0.017,기록 없음,-0.163,2.0,1.141,3,-0.961,0.761,-0.566,0.781,0.082,38.165,-0.038,9,-0.141,17,0.136,0,0,1,1,1
44699,씬파일러,부도,male,55+,0.052,-0.762,55,0.184,기록 없음,-0.297,0.29,-0.349,5000.0,-0.293,12,0.686,0.0,-0.15,1,-0.017,기록 없음,-0.163,0.0,-0.667,1,-0.972,0.513,-2.758,0.296,-3.326,12.941,-2.211,0,-2.744,2,-2.644,0,0,1,0,1
106869,씬파일러,부도,male,20-34,1.0,1.93,33,-1.306,기록 없음,-0.297,0.175,-0.349,2400.0,-0.958,2,-1.256,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,2.0,1.141,1,-0.972,0.405,-3.71,0.17,-4.21,4.701,-2.921,0,-2.744,0,-3.014,0,0,1,1,1
8058,씬파일러,부도,female,35-54,1.0,1.93,52,-0.019,기록 없음,-0.297,0.179,-0.349,3335.0,-0.719,1,-1.45,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,2.0,1.141,1,-0.972,0.641,-1.621,0.435,-2.348,9.481,-2.509,1,-2.454,5,-2.088,0,0,1,1,1
105351,씬파일러,부도,male,35-54,0.826,1.437,42,-0.696,기록 없음,-0.297,0.11,-0.349,3500.0,-0.677,4,-0.867,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,6,-0.943,0.508,-2.797,0.388,-2.684,8.608,-2.584,1,-2.454,3,-2.458,0,0,1,1,1
8174,씬파일러,부도,male,20-34,1.0,1.93,23,-1.983,기록 없음,-0.297,0.007,-0.349,2166.0,-1.018,0,-1.644,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,6,-0.943,0.45,-3.311,0.352,-2.93,10.728,-2.402,0,-2.744,1,-2.829,0,0,1,1,1
64941,씬파일러,부도,male,55+,1.0,1.93,68,1.065,0.0,-0.297,0.856,-0.348,2733.0,-0.873,5,-0.673,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,2.0,1.141,6,-0.943,0.748,-0.679,0.928,1.117,39.112,0.044,10,0.148,11,-0.976,0,0,0,1,1
19590,씬파일러,부도,female,35-54,1.0,1.93,44,-0.561,기록 없음,-0.297,0.0,-0.349,3612.0,-0.648,0,-1.644,기록 없음,-0.15,0,-0.903,기록 없음,-0.163,2.0,1.141,11,-0.913,0.484,-3.012,0.524,-1.724,9.553,-2.503,0,-2.744,0,-3.014,0,0,1,1,1
130617,씬파일러,부도,female,20-34,1.149,2.201,22,-2.051,기록 없음,-0.297,37.0,-0.308,기록 없음,-0.195,2,-1.256,0.0,-0.15,0,-0.903,기록 없음,-0.163,0.0,-0.667,2,-0.967,0.363,-4.073,0.342,-3.006,5.023,-2.893,0,-2.744,0,-3.014,1,0,1,0,1
